"COWcode","year","CW_Onset","Fearon.and.Latin..2003.","Collier.and.Hoeffler..2004.","Hegre.and.Sambanis..2006.","Random.Forest","best_model","model_score"
452,2006,0,0.00838738597109207,0.00320998595916334,0.00506142753109905,0.047,"Collier.and.Hoeffler..2004.",0.00320998595916334
531,2013,0,0.00830141081001108,0.00325914785914773,0.00493953703723462,0.05,"Collier.and.Hoeffler..2004.",0.00325914785914773
640,2008,0,0.0083127932171621,0.003079536070256,0.00498853538766594,0.043,"Collier.and.Hoeffler..2004.",0.003079536070256
630,2008,0,0.00825234787765243,0.00309782188189099,0.0048930241360948,0.044,"Collier.and.Hoeffler..2004.",0.00309782188189099
694,2014,0,0.00825245904965536,0.00317759591939839,0.00488665925113584,0.052,"Collier.and.Hoeffler..2004.",0.00317759591939839
571,2006,0,0.00838204776055804,0.00321386304014659,0.0050335355135102,0.043,"Collier.and.Hoeffler..2004.",0.00321386304014659
690,2008,0,0.00834539811567292,0.00321472898549426,0.00497678939671194,0.05,"Collier.and.Hoeffler..2004.",0.00321472898549426
645,2010,0,0.0263936799183352,0.0035137990827869,0.0242277169115578,0.094,"Collier.and.Hoeffler..2004.",0.0035137990827869
433,2014,0,0.00830603450429971,0.0031849906832005,0.00495952310031206,0.044,"Collier.and.Hoeffler..2004.",0.0031849906832005
625,2001,0,0.00865321815723517,0.00344254822482977,0.00470425859035578,0.043,"Collier.and.Hoeffler..2004.",0.00344254822482977
553,2008,0,0.00839829523877903,0.00324885577892806,0.00501821845952744,0.05,"Collier.and.Hoeffler..2004.",0.00324885577892806
690,2012,0,0.00833873722007387,0.00314299354746408,0.00497846721027341,0.05,"Collier.and.Hoeffler..2004.",0.00314299354746408
679,2008,0,0.00838121163511901,0.00315434177477747,0.00504081534840183,0.043,"Collier.and.Hoeffler..2004.",0.00315434177477747
692,2011,0,0.00838936110644934,0.00323321492880037,0.00505160354607906,0.043,"Collier.and.Hoeffler..2004.",0.00323321492880037
501,2014,0,0.00840086576688843,0.00327849018146272,0.00501770885996308,0.05,"Collier.and.Hoeffler..2004.",0.00327849018146272
433,2004,0,0.00832654804184291,0.00305898830063752,0.00498136466028375,0.043,"Collier.and.Hoeffler..2004.",0.00305898830063752
630,2011,0,0.00821948203081082,0.00303968476125758,0.00486702690004486,0.046,"Collier.and.Hoeffler..2004.",0.00303968476125758
433,2007,0,0.00826303211073182,0.00312503355981427,0.00490697019044693,0.043,"Collier.and.Hoeffler..2004.",0.00312503355981427
471,2002,0,0.00829002248499575,0.00315417756439045,0.00495347720112165,0.045,"Collier.and.Hoeffler..2004.",0.00315417756439045
